* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-04-18 13:16:03 PM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180406_NS_moteLH01.eds
* Experiment Name = 20180406_NS_moteLH01
* Experiment Run End Time = 2018-04-06 12:18:32 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP
2	A2	false	26-08B	Ssid	UNKNOWN	SYBR	None	27.511	27.251	0.368								false	0.020	true	3	26	Amp		0.821	N	N	N	N
3	A3	false	26-08B	Ssid	UNKNOWN	SYBR	None	26.991	27.251	0.368								false	0.020	true	3	25	Amp		0.767	Y	N	N	N
4	A4	false	26-08B	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
4	A4	false	26-08B	D	UNKNOWN	FAM	NFQ-MGB	27.838	27.929	0.128								false	0.020	true	3	25	Amp		0.766	Y	N	N	N
5	A5	false	26-08B	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
5	A5	false	26-08B	D	UNKNOWN	FAM	NFQ-MGB	28.019	27.929	0.128								false	0.020	true	3	26	Amp		0.748	Y	N	N	N
6	A6	false	-	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
7	A7	false	-	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
8	A8	false	-	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
8	A8	false	-	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	N
9	A9	false	-	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
9	A9	false	-	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	N
13	B1	false	26-19B	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	N
14	B2	false	26-19B	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
15	B3	false	26-19B	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
15	B3	false	26-19B	D	UNKNOWN	FAM	NFQ-MGB	25.830	26.023	0.273								false	0.020	true	3	23	Amp		0.611	Y	N	N	N
16	B4	false	26-19B	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		0.000	Y	Y	N	Y
16	B4	false	26-19B	D	UNKNOWN	FAM	NFQ-MGB	26.216	26.023	0.273								false	0.020	true	3	24	Amp		0.684	Y	N	N	N
17	B5	false	25-16A	Ssid	UNKNOWN	SYBR	None	20.973	20.954	0.026								false	0.020	true	3	18	Amp		0.637	Y	N	N	N
18	B6	false	25-16A	Ssid	UNKNOWN	SYBR	None	20.936	20.954	0.026								false	0.020	true	3	19	Amp		0.652	Y	N	N	N
19	B7	false	25-16A	C	UNKNOWN	VIC	NFQ-MGB	29.113	28.998	0.163								false	0.020	true	3	27	Amp		0.900	N	N	N	N
19	B7	false	25-16A	D	UNKNOWN	FAM	NFQ-MGB	27.635	27.414	0.312								false	0.020	true	3	26	Amp		0.787	Y	N	N	N
20	B8	false	25-16A	C	UNKNOWN	VIC	NFQ-MGB	28.883	28.998	0.163								false	0.020	true	3	27	Amp		0.901	N	N	N	N
20	B8	false	25-16A	D	UNKNOWN	FAM	NFQ-MGB	27.194	27.414	0.312								false	0.020	true	3	25	Amp		0.720	Y	N	N	N
21	B9	false	21-40B	Ssid	UNKNOWN	SYBR	None	25.192	25.116	0.109								false	0.020	true	3	22	Amp		0.598	Y	N	N	N
22	B10	false	21-40B	Ssid	UNKNOWN	SYBR	None	25.039	25.116	0.109								false	0.020	true	3	23	Amp		0.592	Y	N	N	N
