* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-07-27 11:27:30 AM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180723_NS_moteLH05.eds
* Experiment Name = 20180723_NS_moteLH05
* Experiment Run End Time = 2018-07-23 12:09:32 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	THOLDFAIL	EXPFAIL	HIGHSD	NOAMP
2	A2	false	21-02A	Ssid	UNKNOWN	SYBR	None	21.649	21.732	0.118								true	0.046	true	3	19	Amp		0.900	N	N	N	N	N
3	A3	false	21-02A	Ssid	UNKNOWN	SYBR	None	21.816	21.732	0.118								true	0.046	true	3	18	Amp		0.933	N	N	N	N	N
4	A4	false	21-02A	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
4	A4	false	21-02A	D	UNKNOWN	FAM	NFQ-MGB	30.107	30.085	0.031								true	0.176	true	3	25	Amp		0.954	N	N	N	N	N
5	A5	false	21-02A	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
5	A5	false	21-02A	D	UNKNOWN	FAM	NFQ-MGB	30.064	30.085	0.031								true	0.176	true	3	25	Amp		0.951	N	N	N	N	N
6	A6	false	21-21B	Ssid	UNKNOWN	SYBR	None	22.590	22.602	0.017								true	0.046	true	3	20	Amp		0.890	N	N	N	N	N
7	A7	false	21-21B	Ssid	UNKNOWN	SYBR	None	22.614	22.602	0.017								true	0.046	true	3	20	Amp		0.949	N	N	N	N	N
8	A8	false	21-21B	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
8	A8	false	21-21B	D	UNKNOWN	FAM	NFQ-MGB	29.835	29.891	0.079								true	0.176	true	3	25	Amp		0.961	N	N	N	N	N
9	A9	false	21-21B	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
9	A9	false	21-21B	D	UNKNOWN	FAM	NFQ-MGB	29.947	29.891	0.079								true	0.176	true	3	24	Amp		0.957	N	N	N	N	N
10	A10	false	-	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.046	true	3	39	No Amp		0.000	Y	N	Y	N	Y
