* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-07-27 11:29:03 AM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180725_NS_moteLH07.eds
* Experiment Name = 20180725_NS_moteLH07
* Experiment Run End Time = 2018-07-25 08:18:02 AM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	THOLDFAIL	CQCONF	EXPFAIL	HIGHSD	NOAMP
2	A2	false	Sample 1	Ssid	UNKNOWN	SYBR	None	24.198	24.365	0.237								true	0.055	true	3	21	Amp		0.993	N	N	N	N	N
3	A3	false	Sample 1	Ssid	UNKNOWN	SYBR	None	24.533	24.365	0.237								true	0.055	true	3	21	Amp		0.993	N	N	N	N	N
4	A4	false	Sample 1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
4	A4	false	Sample 1	D	UNKNOWN	FAM	NFQ-MGB	33.026	33.178	0.214								true	0.187	true	3	28	Amp		0.948	N	N	N	N	N
5	A5	false	Sample 1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
5	A5	false	Sample 1	D	UNKNOWN	FAM	NFQ-MGB	33.329	33.178	0.214								true	0.187	true	3	28	Amp		0.943	N	N	N	N	N
6	A6	false	Sample 9	Ssid	UNKNOWN	SYBR	None	22.223	22.220	0.004								true	0.055	true	3	19	Amp		0.902	N	N	N	N	N
7	A7	false	Sample 9	Ssid	UNKNOWN	SYBR	None	22.218	22.220	0.004								true	0.055	true	3	18	Amp		0.906	N	N	N	N	N
8	A8	false	Sample 9	C	UNKNOWN	VIC	NFQ-MGB	31.491	31.715	0.316								true	0.040	true	3	28	Amp		0.908	Y	N	N	N	N
8	A8	false	Sample 9	D	UNKNOWN	FAM	NFQ-MGB	35.271	35.351	0.114								true	0.187	true	3	29	Amp		0.928	N	N	N	N	N
9	A9	false	Sample 9	C	UNKNOWN	VIC	NFQ-MGB	31.938	31.715	0.316								true	0.040	true	3	29	Amp		0.902	Y	N	N	N	N
9	A9	false	Sample 9	D	UNKNOWN	FAM	NFQ-MGB	35.431	35.351	0.114								true	0.187	true	3	30	Amp		0.913	N	N	N	N	N
10	A10	false	Sample 17	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.055	true	3	39	No Amp		0.000	N	Y	Y	N	Y
11	A11	false	Sample 17	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.055	true	3	39	No Amp		0.000	N	Y	Y	N	Y
